Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\temp_blends\template_instantiations\compositor_bioenvelope__city_single-state_yr180__4.10__20260412_104824.blend"
Fra:1 Mem:24566.13M (Peak 26211.44M) | Time:00:04.56 | Compositing | Operation 133-248
Fra:1 Mem:24566.13M (Peak 26211.44M) | Time:00:04.56 | Compositing | Operation 134-248
Fra:1 Mem:24566.13M (Peak 26211.44M) | Time:00:04.56 | Compositing | Operation 135-248
Fra:1 Mem:24692.69M (Peak 26211.44M) | Time:00:04.59 | Compositing | Operation 136-248
Fra:1 Mem:24692.69M (Peak 26211.44M) | Time:00:04.59 | Compositing | Operation 137-248
Fra:1 Mem:24692.69M (Peak 26211.44M) | Time:00:04.67 | Compositing | Operation 138-248
Fra:1 Mem:24692.69M (Peak 26211.44M) | Time:00:04.67 | Compositing | Operation 139-248
Fra:1 Mem:24692.69M (Peak 26211.44M) | Time:00:04.67 | Compositing | Operation 140-248
Fra:1 Mem:24692.69M (Peak 26211.44M) | Time:00:04.67 | Compositing | Operation 141-248
Fra:1 Mem:24819.25M (Peak 26211.44M) | Time:00:04.70 | Compositing | Operation 142-248
Fra:1 Mem:24819.25M (Peak 26211.44M) | Time:00:04.70 | Compositing | Operation 143-248
Fra:1 Mem:25198.94M (Peak 26211.44M) | Time:00:04.76 | Compositing | Operation 144-248
Fra:1 Mem:25198.94M (Peak 26211.44M) | Time:00:04.84 | Compositing | Operation 145-248
Fra:1 Mem:25198.94M (Peak 26211.44M) | Time:00:04.84 | Compositing | Operation 146-248
Fra:1 Mem:25198.94M (Peak 26211.44M) | Time:00:04.84 | Compositing | Operation 147-248
Fra:1 Mem:25198.94M (Peak 26211.44M) | Time:00:04.84 | Compositing | Operation 148-248
Fra:1 Mem:25325.50M (Peak 26211.44M) | Time:00:04.87 | Compositing | Operation 149-248
Fra:1 Mem:25325.50M (Peak 26211.44M) | Time:00:04.87 | Compositing | Operation 150-248
Fra:1 Mem:25705.19M (Peak 26211.44M) | Time:00:04.94 | Compositing | Operation 151-248
Fra:1 Mem:25705.19M (Peak 26211.44M) | Time:00:05.02 | Compositing | Operation 152-248
Fra:1 Mem:25705.19M (Peak 26211.44M) | Time:00:05.02 | Compositing | Operation 153-248
Fra:1 Mem:25705.19M (Peak 26211.44M) | Time:00:05.02 | Compositing | Operation 154-248
Fra:1 Mem:25831.75M (Peak 26211.44M) | Time:00:05.16 | Compositing | Operation 155-248
Fra:1 Mem:26211.44M (Peak 26338.00M) | Time:00:05.23 | Compositing | Operation 156-248
Fra:1 Mem:26211.44M (Peak 26338.00M) | Time:00:05.23 | Compositing | Operation 157-248
Fra:1 Mem:26338.00M (Peak 26338.00M) | Time:00:05.36 | Compositing | Operation 158-248
Fra:1 Mem:26717.69M (Peak 26844.25M) | Time:00:05.42 | Compositing | Operation 159-248
Fra:1 Mem:26717.69M (Peak 26844.25M) | Time:00:05.42 | Compositing | Operation 160-248
Fra:1 Mem:26844.25M (Peak 26844.25M) | Time:00:05.58 | Compositing | Operation 161-248
Fra:1 Mem:27223.94M (Peak 27350.50M) | Time:00:05.65 | Compositing | Operation 162-248
Fra:1 Mem:27223.94M (Peak 27350.50M) | Time:00:05.65 | Compositing | Operation 163-248
Fra:1 Mem:27223.94M (Peak 27350.50M) | Time:00:05.65 | Compositing | Operation 164-248
Fra:1 Mem:27350.50M (Peak 27350.50M) | Time:00:05.68 | Compositing | Operation 165-248
Fra:1 Mem:27350.50M (Peak 27350.50M) | Time:00:05.68 | Compositing | Operation 166-248
Fra:1 Mem:27730.19M (Peak 27856.75M) | Time:00:05.74 | Compositing | Operation 167-248
Fra:1 Mem:27730.19M (Peak 28236.44M) | Time:00:05.83 | Compositing | Operation 168-248
Fra:1 Mem:27730.19M (Peak 28236.44M) | Time:00:05.83 | Compositing | Operation 169-248
Fra:1 Mem:27730.19M (Peak 28236.44M) | Time:00:05.83 | Compositing | Operation 170-248
Fra:1 Mem:27730.19M (Peak 28236.44M) | Time:00:05.83 | Compositing | Operation 171-248
Fra:1 Mem:27856.75M (Peak 28236.44M) | Time:00:05.85 | Compositing | Operation 172-248
Fra:1 Mem:27856.75M (Peak 28236.44M) | Time:00:05.85 | Compositing | Operation 173-248
Fra:1 Mem:28236.44M (Peak 28363.00M) | Time:00:05.92 | Compositing | Operation 174-248
Fra:1 Mem:28236.44M (Peak 28742.69M) | Time:00:06.00 | Compositing | Operation 175-248
Fra:1 Mem:28236.44M (Peak 28742.69M) | Time:00:06.00 | Compositing | Operation 176-248
Fra:1 Mem:28236.44M (Peak 28742.69M) | Time:00:06.00 | Compositing | Operation 177-248
Fra:1 Mem:28236.44M (Peak 28742.69M) | Time:00:06.00 | Compositing | Operation 178-248
Fra:1 Mem:28363.00M (Peak 28742.69M) | Time:00:06.03 | Compositing | Operation 179-248
Fra:1 Mem:28363.00M (Peak 28742.69M) | Time:00:06.03 | Compositing | Operation 180-248
Fra:1 Mem:28742.69M (Peak 28869.25M) | Time:00:06.09 | Compositing | Operation 181-248
Fra:1 Mem:28742.69M (Peak 29248.94M) | Time:00:06.18 | Compositing | Operation 182-248
Fra:1 Mem:28742.69M (Peak 29248.94M) | Time:00:06.18 | Compositing | Operation 183-248
Fra:1 Mem:28742.69M (Peak 29248.94M) | Time:00:06.18 | Compositing | Operation 184-248
Fra:1 Mem:28742.69M (Peak 29248.94M) | Time:00:06.18 | Compositing | Operation 185-248
Fra:1 Mem:28742.69M (Peak 29248.94M) | Time:00:06.21 | Compositing | Operation 186-248
Fra:1 Mem:28742.69M (Peak 29248.94M) | Time:00:06.21 | Compositing | Operation 187-248
Fra:1 Mem:28363.00M (Peak 29248.94M) | Time:00:06.25 | Compositing | Operation 188-248
Fra:1 Mem:28363.00M (Peak 29248.94M) | Time:00:06.25 | Compositing | Operation 189-248
Fra:1 Mem:28363.00M (Peak 29248.94M) | Time:00:06.25 | Compositing | Operation 190-248
Fra:1 Mem:28363.00M (Peak 29248.94M) | Time:00:06.28 | Compositing | Operation 191-248
Fra:1 Mem:28363.00M (Peak 29248.94M) | Time:00:06.28 | Compositing | Operation 192-248
Fra:1 Mem:27983.32M (Peak 29248.94M) | Time:00:06.33 | Compositing | Operation 193-248
Fra:1 Mem:27983.32M (Peak 29248.94M) | Time:00:06.33 | Compositing | Operation 194-248
Fra:1 Mem:27983.32M (Peak 29248.94M) | Time:00:06.33 | Compositing | Operation 195-248
Fra:1 Mem:27983.32M (Peak 29248.94M) | Time:00:06.36 | Compositing | Operation 196-248
Fra:1 Mem:27983.32M (Peak 29248.94M) | Time:00:06.36 | Compositing | Operation 197-248
Fra:1 Mem:27603.63M (Peak 29248.94M) | Time:00:06.40 | Compositing | Operation 198-248
Fra:1 Mem:27730.19M (Peak 29248.94M) | Time:00:06.42 | Compositing | Operation 199-248
Fra:1 Mem:27730.19M (Peak 29248.94M) | Time:00:06.42 | Compositing | Operation 200-248
Fra:1 Mem:28109.88M (Peak 29248.94M) | Time:00:06.48 | Compositing | Operation 201-248
Fra:1 Mem:28109.88M (Peak 29248.94M) | Time:00:06.57 | Compositing | Operation 202-248
Fra:1 Mem:28109.88M (Peak 29248.94M) | Time:00:06.57 | Compositing | Operation 203-248
Fra:1 Mem:28109.88M (Peak 29248.94M) | Time:00:06.60 | Compositing | Operation 204-248
Fra:1 Mem:28109.88M (Peak 29248.94M) | Time:00:06.60 | Compositing | Operation 205-248
Fra:1 Mem:28489.57M (Peak 29248.94M) | Time:00:06.67 | Compositing | Operation 206-248
Fra:1 Mem:28489.57M (Peak 29248.94M) | Time:00:06.76 | Compositing | Operation 207-248
Fra:1 Mem:28489.57M (Peak 29248.94M) | Time:00:06.76 | Compositing | Operation 208-248
Fra:1 Mem:28489.57M (Peak 29248.94M) | Time:00:06.79 | Compositing | Operation 209-248
Fra:1 Mem:28489.57M (Peak 29248.94M) | Time:00:06.79 | Compositing | Operation 210-248
Fra:1 Mem:28869.25M (Peak 29248.94M) | Time:00:06.86 | Compositing | Operation 211-248
Fra:1 Mem:28869.25M (Peak 29375.50M) | Time:00:06.95 | Compositing | Operation 212-248
Fra:1 Mem:28869.25M (Peak 29375.50M) | Time:00:06.95 | Compositing | Operation 213-248
Fra:1 Mem:28869.25M (Peak 29375.50M) | Time:00:06.95 | Compositing | Operation 214-248
Fra:1 Mem:28869.25M (Peak 29375.50M) | Time:00:06.95 | Compositing | Operation 215-248
Fra:1 Mem:28869.25M (Peak 29375.50M) | Time:00:06.98 | Compositing | Operation 216-248
Fra:1 Mem:28869.25M (Peak 29375.50M) | Time:00:06.98 | Compositing | Operation 217-248
Fra:1 Mem:28742.69M (Peak 29375.50M) | Time:00:07.02 | Compositing | Operation 218-248
Fra:1 Mem:28742.69M (Peak 29375.50M) | Time:00:07.02 | Compositing | Operation 219-248
Fra:1 Mem:28742.69M (Peak 29375.50M) | Time:00:07.04 | Compositing | Operation 220-248
Fra:1 Mem:28742.69M (Peak 29375.50M) | Time:00:07.04 | Compositing | Operation 221-248
Fra:1 Mem:28616.13M (Peak 29375.50M) | Time:00:07.08 | Compositing | Operation 222-248
Fra:1 Mem:28616.13M (Peak 29375.50M) | Time:00:07.08 | Compositing | Operation 223-248
Fra:1 Mem:28616.13M (Peak 29375.50M) | Time:00:07.10 | Compositing | Operation 224-248
Fra:1 Mem:28616.13M (Peak 29375.50M) | Time:00:07.10 | Compositing | Operation 225-248
Fra:1 Mem:28489.57M (Peak 29375.50M) | Time:00:07.14 | Compositing | Operation 226-248
Fra:1 Mem:28489.57M (Peak 29375.50M) | Time:00:07.14 | Compositing | Operation 227-248
Fra:1 Mem:28869.25M (Peak 29375.50M) | Time:00:07.20 | Compositing | Operation 228-248
Fra:1 Mem:28869.25M (Peak 29375.50M) | Time:00:07.28 | Compositing | Operation 229-248
Fra:1 Mem:28869.25M (Peak 29375.50M) | Time:00:07.28 | Compositing | Operation 230-248
Fra:1 Mem:29248.94M (Peak 29375.50M) | Time:00:07.35 | Compositing | Operation 231-248
Fra:1 Mem:29248.94M (Peak 29755.19M) | Time:00:07.43 | Compositing | Operation 232-248
Fra:1 Mem:29248.94M (Peak 29755.19M) | Time:00:07.43 | Compositing | Operation 233-248
Fra:1 Mem:29628.63M (Peak 29755.19M) | Time:00:07.48 | Compositing | Operation 234-248
Fra:1 Mem:29628.63M (Peak 30134.88M) | Time:00:07.57 | Compositing | Operation 235-248
Fra:1 Mem:29628.63M (Peak 30134.88M) | Time:00:07.57 | Compositing | Operation 236-248
Fra:1 Mem:29628.63M (Peak 30134.88M) | Time:00:07.59 | Compositing | Operation 237-248
Fra:1 Mem:30134.88M (Peak 30134.88M) | Time:00:07.65 | Compositing | Operation 238-248
Fra:1 Mem:30514.57M (Peak 30641.13M) | Time:00:07.72 | Compositing | Operation 239-248
Fra:1 Mem:30894.25M (Peak 31020.82M) | Time:00:07.78 | Compositing | Operation 240-248
Fra:1 Mem:31273.94M (Peak 31400.50M) | Time:00:07.85 | Compositing | Operation 241-248
Fra:1 Mem:31653.63M (Peak 31780.19M) | Time:00:07.92 | Compositing | Operation 242-248
Fra:1 Mem:32033.32M (Peak 32159.88M) | Time:00:07.99 | Compositing | Operation 243-248
Fra:1 Mem:32413.00M (Peak 32539.57M) | Time:00:08.05 | Compositing | Operation 244-248
Fra:1 Mem:32413.00M (Peak 32919.25M) | Time:00:08.14 | Compositing | Operation 245-248
Fra:1 Mem:32413.00M (Peak 32919.25M) | Time:00:08.22 | Compositing | Operation 246-248
Fra:1 Mem:32413.00M (Peak 32919.25M) | Time:00:08.31 | Compositing | Operation 247-248
Fra:1 Mem:32286.44M (Peak 32919.25M) | Time:00:08.39 | Compositing | Operation 248-248
Fra:1 Mem:32286.49M (Peak 47980.19M) | Time:00:15.66 | Compositing | Operation 249-248
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\city_single-state_yr180\bioenvelope__20260412_104824\envelope_voxels_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\city_single-state_yr180\bioenvelope__20260412_104824\base_bioenvelope_brownroof_0001.png'
