Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\temp_blends\template_instantiations\compositor_sizes__city_baseline_2input__20260411_1621.blend"
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.57 | Compositing | Operation 17-22
Fra:1 Mem:22034.55M (Peak 24059.55M) | Time:00:01.61 | Compositing | Operation 18-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.66 | Compositing | Operation 19-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.66 | Compositing | Operation 20-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.66 | Compositing | Operation 21-22
Fra:1 Mem:22287.68M (Peak 24059.55M) | Time:00:01.74 | Compositing | Operation 22-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:02.02 | Compositing | Operation 23-22
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.9\city_baseline\sizes__20260411_1621__2input-positive-priority\priority_large.png'
Time: 00:04.64 (Saving: 00:02.61)

Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:21907.99M (Peak 21907.99M) | Time:00:00.05 | Compositing | Operation 2-22
Fra:1 Mem:22034.55M (Peak 22034.55M) | Time:00:00.08 | Compositing | Operation 3-22
Fra:1 Mem:22034.55M (Peak 22161.12M) | Time:00:00.14 | Compositing | Operation 4-22
Fra:1 Mem:22034.55M (Peak 22161.12M) | Time:00:00.19 | Compositing | Operation 5-22
Fra:1 Mem:22414.24M (Peak 22540.80M) | Time:00:00.28 | Compositing | Operation 6-22
Fra:1 Mem:22793.93M (Peak 22920.49M) | Time:00:00.34 | Compositing | Operation 7-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:00.94 | Compositing | Operation 8-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.43 | Compositing | Operation 9-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.43 | Compositing | Operation 10-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.43 | Compositing | Operation 11-22
Fra:1 Mem:22920.49M (Peak 24059.55M) | Time:00:01.45 | Compositing | Operation 12-22
Fra:1 Mem:22920.49M (Peak 24059.55M) | Time:00:01.45 | Compositing | Operation 13-22
Fra:1 Mem:22540.80M (Peak 24059.55M) | Time:00:01.49 | Compositing | Operation 14-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.53 | Compositing | Operation 15-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.53 | Compositing | Operation 16-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.57 | Compositing | Operation 17-22
Fra:1 Mem:22034.55M (Peak 24059.55M) | Time:00:01.60 | Compositing | Operation 18-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.64 | Compositing | Operation 19-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.64 | Compositing | Operation 20-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.64 | Compositing | Operation 21-22
Fra:1 Mem:22287.68M (Peak 24059.55M) | Time:00:01.71 | Compositing | Operation 22-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:02.01 | Compositing | Operation 23-22
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.9\city_baseline\sizes__20260411_1621__2input-positive-priority\priority_medium.png'
Time: 00:04.50 (Saving: 00:02.48)

Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:21907.99M (Peak 21907.99M) | Time:00:00.04 | Compositing | Operation 2-22
Fra:1 Mem:22034.55M (Peak 22034.55M) | Time:00:00.07 | Compositing | Operation 3-22
Fra:1 Mem:22034.55M (Peak 22161.12M) | Time:00:00.14 | Compositing | Operation 4-22
Fra:1 Mem:22034.55M (Peak 22161.12M) | Time:00:00.20 | Compositing | Operation 5-22
Fra:1 Mem:22414.24M (Peak 22540.80M) | Time:00:00.36 | Compositing | Operation 6-22
Fra:1 Mem:22793.93M (Peak 22920.49M) | Time:00:00.45 | Compositing | Operation 7-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.03 | Compositing | Operation 8-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.53 | Compositing | Operation 9-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.53 | Compositing | Operation 10-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.53 | Compositing | Operation 11-22
Fra:1 Mem:22920.49M (Peak 24059.55M) | Time:00:01.55 | Compositing | Operation 12-22
Fra:1 Mem:22920.49M (Peak 24059.55M) | Time:00:01.55 | Compositing | Operation 13-22
Fra:1 Mem:22540.80M (Peak 24059.55M) | Time:00:01.59 | Compositing | Operation 14-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.63 | Compositing | Operation 15-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.63 | Compositing | Operation 16-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.66 | Compositing | Operation 17-22
Fra:1 Mem:22034.55M (Peak 24059.55M) | Time:00:01.70 | Compositing | Operation 18-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.73 | Compositing | Operation 19-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.73 | Compositing | Operation 20-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.73 | Compositing | Operation 21-22
Fra:1 Mem:22287.68M (Peak 24059.55M) | Time:00:01.80 | Compositing | Operation 22-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:02.11 | Compositing | Operation 23-22
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.9\city_baseline\sizes__20260411_1621__2input-positive-priority\priority_small.png'
Time: 00:04.82 (Saving: 00:02.70)

Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:21908.02M (Peak 21908.02M) | Time:00:00.04 | Compositing | Operation 2-69
Fra:1 Mem:21908.02M (Peak 22034.58M) | Time:00:00.12 | Compositing | Operation 3-69
Fra:1 Mem:22287.71M (Peak 22414.27M) | Time:00:00.22 | Compositing | Operation 4-69
Fra:1 Mem:22287.71M (Peak 22414.27M) | Time:00:00.22 | Compositing | Operation 5-69
