site,year,proposal_id,proposal_label,measure,metric_column,positive_value,trending_value,delta_trending_minus_positive,trending_pct_of_positive,positive_multiple_of_trending
uni,0,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,0,0,,
uni,0,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,163829,154311,-9518,94.190284,1.061681
uni,0,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,76011,70508,-5503,92.760258,1.078048
uni,10,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,46717,621,-46096,1.329281,75.228663
uni,10,decay,Decay,decay opportunity voxels,opportunity_voxel_count,10136,779,-9357,7.685478,13.011553
uni,10,decay,Decay,trees reaching senescence,opportunity_tree_count,2,1,-1,50.0,2.0
uni,10,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,43436,0,-43436,0.0,
uni,10,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,61,0,-61,0.0,
uni,10,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,225219,153807,-71412,68.292196,1.464296
uni,10,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,124176,70089,-54087,56.443274,1.77169
uni,30,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,94591,1362,-93229,1.439883,69.450073
uni,30,decay,Decay,decay opportunity voxels,opportunity_voxel_count,19116,1623,-17493,8.49027,11.778189
uni,30,decay,Decay,trees reaching senescence,opportunity_tree_count,44,2,-42,4.545455,22.0
uni,30,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,42045,0,-42045,0.0,
uni,30,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,61,0,-61,0.0,
uni,30,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,249652,138961,-110691,55.661881,1.796562
uni,30,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,137595,55155,-82440,40.085032,2.494697
uni,60,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,167458,2543,-164915,1.51859,65.85057
uni,60,decay,Decay,decay opportunity voxels,opportunity_voxel_count,54343,2841,-51502,5.227904,19.128124
uni,60,decay,Decay,trees reaching senescence,opportunity_tree_count,64,4,-60,6.25,16.0
uni,60,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,59656,0,-59656,0.0,
uni,60,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,90,0,-90,0.0,
uni,60,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,364240,162373,-201867,44.578575,2.24323
uni,60,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,194258,76652,-117606,39.458864,2.534285
uni,90,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,166784,3040,-163744,1.822717,54.863158
uni,90,decay,Decay,decay opportunity voxels,opportunity_voxel_count,54733,3522,-51211,6.434875,15.540318
uni,90,decay,Decay,trees reaching senescence,opportunity_tree_count,102,19,-83,18.627451,5.368421
uni,90,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,59052,0,-59052,0.0,
uni,90,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,90,0,-90,0.0,
uni,90,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,397375,181018,-216357,45.553444,2.195224
uni,90,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,227098,95385,-131713,42.001691,2.380857
uni,120,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,165962,3694,-162268,2.225811,44.92745
uni,120,decay,Decay,decay opportunity voxels,opportunity_voxel_count,54736,4211,-50525,7.693291,12.998338
uni,120,decay,Decay,trees reaching senescence,opportunity_tree_count,108,19,-89,17.592593,5.684211
uni,120,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,55873,0,-55873,0.0,
uni,120,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,90,0,-90,0.0,
uni,120,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,478321,244602,-233719,51.137625,1.955507
uni,120,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,307667,156888,-150779,50.992794,1.961061
uni,150,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,200779,4132,-196647,2.057984,48.591239
uni,150,decay,Decay,decay opportunity voxels,opportunity_voxel_count,54736,4726,-50010,8.634171,11.581887
uni,150,decay,Decay,trees reaching senescence,opportunity_tree_count,108,19,-89,17.592593,5.684211
uni,150,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,54157,0,-54157,0.0,
uni,150,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,90,0,-90,0.0,
uni,150,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,499845,260744,-239101,52.164971,1.916995
uni,150,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,327774,172914,-154860,52.754032,1.89559
uni,180,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,200686,4732,-195954,2.357912,42.410397
uni,180,decay,Decay,decay opportunity voxels,opportunity_voxel_count,54736,5227,-49509,9.549474,10.471781
uni,180,decay,Decay,trees reaching senescence,opportunity_tree_count,108,19,-89,17.592593,5.684211
uni,180,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,55586,0,-55586,0.0,
uni,180,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,90,0,-90,0.0,
uni,180,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,496858,261578,-235280,52.64643,1.899464
uni,180,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,325209,174536,-150673,53.668871,1.863277
