Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_futureSim_refactored\blender\compositor\canonical_templates\compositor_mist.blend"
Fra:1 Mem:6719.84M (Peak 7732.34M) | Time:00:02.38 | Compositing | Operation 76-133
Fra:1 Mem:6719.84M (Peak 7732.34M) | Time:00:02.38 | Compositing | Operation 77-133
Fra:1 Mem:7099.53M (Peak 7732.34M) | Time:00:02.43 | Compositing | Operation 78-133
Fra:1 Mem:8112.03M (Peak 8112.03M) | Time:00:02.70 | Compositing | Operation 79-133
Fra:1 Mem:8112.04M (Peak 8112.04M) | Time:00:02.70 | Compositing | Operation 80-133
Fra:1 Mem:8112.04M (Peak 8112.04M) | Time:00:02.70 | Compositing | Operation 81-133
Fra:1 Mem:8618.29M (Peak 8618.29M) | Time:00:02.85 | Compositing | Operation 82-133
Fra:1 Mem:8618.29M (Peak 9124.54M) | Time:00:02.99 | Compositing | Operation 83-133
Fra:1 Mem:8238.60M (Peak 9124.54M) | Time:00:03.05 | Compositing | Operation 84-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.12 | Compositing | Operation 85-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.12 | Compositing | Operation 86-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.12 | Compositing | Operation 87-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.22 | Compositing | Operation 88-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.22 | Compositing | Operation 89-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.22 | Compositing | Operation 90-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.38 | Compositing | Operation 91-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.47 | Compositing | Operation 92-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.53 | Compositing | Operation 93-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.68 | Compositing | Operation 94-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.77 | Compositing | Operation 95-133
Fra:1 Mem:8365.17M (Peak 9124.54M) | Time:00:03.85 | Compositing | Operation 96-133
Fra:1 Mem:8744.85M (Peak 9124.54M) | Time:00:03.93 | Compositing | Operation 97-133
Fra:1 Mem:9251.10M (Peak 9251.10M) | Time:00:03.99 | Compositing | Operation 98-133
Fra:1 Mem:9630.79M (Peak 9757.35M) | Time:00:04.06 | Compositing | Operation 99-133
Fra:1 Mem:9251.10M (Peak 9757.35M) | Time:00:04.10 | Compositing | Operation 100-133
Fra:1 Mem:8871.42M (Peak 9757.35M) | Time:00:04.14 | Compositing | Operation 101-133
Fra:1 Mem:8491.73M (Peak 9757.35M) | Time:00:04.18 | Compositing | Operation 102-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.22 | Compositing | Operation 103-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.22 | Compositing | Operation 104-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.38 | Compositing | Operation 105-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.54 | Compositing | Operation 106-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.54 | Compositing | Operation 107-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.71 | Compositing | Operation 108-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.92 | Compositing | Operation 109-133
Fra:1 Mem:7985.48M (Peak 9757.35M) | Time:00:04.99 | Compositing | Operation 110-133
Fra:1 Mem:7858.92M (Peak 9757.35M) | Time:00:05.05 | Compositing | Operation 111-133
Fra:1 Mem:7858.92M (Peak 9757.35M) | Time:00:05.05 | Compositing | Operation 112-133
Fra:1 Mem:8238.60M (Peak 9757.35M) | Time:00:05.13 | Compositing | Operation 113-133
Fra:1 Mem:8238.60M (Peak 9757.35M) | Time:00:05.13 | Compositing | Operation 114-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.20 | Compositing | Operation 115-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.20 | Compositing | Operation 116-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.29 | Compositing | Operation 117-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.29 | Compositing | Operation 118-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.37 | Compositing | Operation 119-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.45 | Compositing | Operation 120-133
