Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_futureSim_refactored\blender\compositor\canonical_templates\proposal_and_interventions.blend"
Fra:1 Mem:7479.92M (Peak 7479.92M) | Time:00:02.78 | Compositing | Operation 31-151
Fra:1 Mem:7606.49M (Peak 7606.49M) | Time:00:02.80 | Compositing | Operation 32-151
Fra:1 Mem:7606.49M (Peak 7606.49M) | Time:00:02.80 | Compositing | Operation 33-151
Fra:1 Mem:7606.49M (Peak 7606.49M) | Time:00:02.80 | Compositing | Operation 34-151
Fra:1 Mem:7606.49M (Peak 7606.49M) | Time:00:02.80 | Compositing | Operation 35-151
Fra:1 Mem:7606.49M (Peak 7606.49M) | Time:00:02.80 | Compositing | Operation 36-151
Fra:1 Mem:7733.05M (Peak 7733.05M) | Time:00:02.82 | Compositing | Operation 37-151
Fra:1 Mem:7733.05M (Peak 7733.05M) | Time:00:02.82 | Compositing | Operation 38-151
Fra:1 Mem:7733.05M (Peak 7733.05M) | Time:00:02.82 | Compositing | Operation 39-151
Fra:1 Mem:7733.05M (Peak 7733.05M) | Time:00:02.82 | Compositing | Operation 40-151
Fra:1 Mem:7733.05M (Peak 7733.05M) | Time:00:02.82 | Compositing | Operation 41-151
Fra:1 Mem:7733.05M (Peak 7733.05M) | Time:00:02.82 | Compositing | Operation 42-151
Fra:1 Mem:7733.05M (Peak 7733.05M) | Time:00:02.82 | Compositing | Operation 43-151
Fra:1 Mem:7733.05M (Peak 7733.05M) | Time:00:02.82 | Compositing | Operation 44-151
Fra:1 Mem:7733.05M (Peak 7733.05M) | Time:00:02.82 | Compositing | Operation 45-151
Fra:1 Mem:7859.61M (Peak 7859.61M) | Time:00:02.85 | Compositing | Operation 46-151
Fra:1 Mem:7859.61M (Peak 7859.61M) | Time:00:02.85 | Compositing | Operation 47-151
Fra:1 Mem:7859.61M (Peak 7859.61M) | Time:00:02.85 | Compositing | Operation 48-151
Fra:1 Mem:7986.17M (Peak 7986.17M) | Time:00:02.88 | Compositing | Operation 49-151
Fra:1 Mem:7986.17M (Peak 7986.17M) | Time:00:02.88 | Compositing | Operation 50-151
Fra:1 Mem:7986.17M (Peak 7986.17M) | Time:00:02.88 | Compositing | Operation 51-151
Fra:1 Mem:7986.17M (Peak 8112.74M) | Time:00:02.92 | Compositing | Operation 52-151
Fra:1 Mem:7986.17M (Peak 8112.74M) | Time:00:02.92 | Compositing | Operation 53-151
Fra:1 Mem:7986.17M (Peak 8112.74M) | Time:00:02.92 | Compositing | Operation 54-151
Fra:1 Mem:8112.74M (Peak 8112.74M) | Time:00:02.95 | Compositing | Operation 55-151
Fra:1 Mem:8112.74M (Peak 8112.74M) | Time:00:02.95 | Compositing | Operation 56-151
Fra:1 Mem:8112.74M (Peak 8112.74M) | Time:00:02.95 | Compositing | Operation 57-151
Fra:1 Mem:8239.30M (Peak 8239.30M) | Time:00:02.98 | Compositing | Operation 58-151
Fra:1 Mem:8239.30M (Peak 8239.30M) | Time:00:02.98 | Compositing | Operation 59-151
